"Name","State","Notes","User","Tags","Created","Runtime","Sweep","accuracy/train","accuracy/val","epoch","learning_rate","loss/train","loss/val","test/acc","test/loss","train/acc","train/loss","val/acc","val/loss","data.data_dir","data.file_path","data.kaggle_dataset","data.label_map.contradiction","data.label_map.entailment","data.label_map.neutral","data.test_size","data.val_size","model.checkpoint_dir","model.distilbert","model.dropout_rate","model.freeze_strategy","model.lora.bias","model.lora.lora_alpha","model.lora.lora_dropout","model.lora.r","model.lora.target_modules","model.max_len","model.model_type","model.name","model.num_frozen_layers","model.save_local","model.use_lora","training.batch_size","training.dropout_rate","training.early_stopping_patience","training.learning_rate","training.max_grad_norm","training.num_epochs","training.warmup_ratio","training.weight_decay","test/misclassification_rate","test/num_misclassifications","gpu/avg_epoch_time_sec","gpu/avg_throughput_samples_per_sec","gpu/epoch_time_sec","gpu/memory_gb","gpu/peak_memory_gb","gpu/throughput_samples_per_sec","gpu/total_training_time_sec"
"Stanford_bert_partial_finetune","finished","-","","Stanford, bert, partial-finetune","2025-11-23T20:02:45.000Z","3037","","0.8393966028354778","0.8505924968600397","3","0.00003","0.4217160336731304","0.40974491322875783","0.8499645047964032","0.4074045785254605","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","partial","","","","","","256","bert","bert-base-uncased","2","false","false","14","0.5","5","0.00003","1","3","0.1","0.1","0.15003549520359685","16485","842.0149109363556","456.7095140633396","841.426296710968","1.078088704","1.078088704","457.0287397757619","2526.0447328090668"
"Stanford_bert_lora_r8","finished","-","","Stanford, bert, lora, r=8","2025-11-23T18:29:25.000Z","5586","","0.8395162213045694","0.8493365127327667","3","0.0001","0.4586392500472059","0.4599736625661951","0.8506015981942953","0.4620854208765213","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","","none","16","0.1","8","[""query"",""value""]","256","bert","bert-base-uncased","","false","true","6","0.5","5","0.0001","1","3","0.1","0.1","0.1493984018057047","16415","1648.204042673111","233.31869658357783","1647.4015221595764","1.316128256","1.316128256","233.43185909885895","4944.612128019333"
"Stanford_bert_partial_finetune","finished","-","","Stanford, bert, partial-finetune","2025-11-23T17:04:49.000Z","2623","","0.8389441329741312","0.8518848863243351","3","0.00003","0.4269332945320725","0.4100044002987675","0.8527768170813841","0.40553832240850224","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","partial","","","","","","256","bert","bert-base-uncased","2","false","false","11","0.5","5","0.00003","1","3","0.1","0.1","0.14722318291861586","16176","731.6919357776642","525.5709886345154","731.6144664287567","0.986364928","0.986364928","525.6265665127431","2195.075807332993"
"Stanford_bert_lora_r8","finished","-","","Stanford, bert, lora, r=8","2025-11-23T15:30:16.000Z","5658","","0.8413729079769916","0.8548701239601726","3","0.0001","0.4547301740886723","0.43382629064249706","0.8543240439048364","0.4363345866110455","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","","none","16","0.1","8","[""query"",""value""]","256","bert","bert-base-uncased","","false","true","6","0.5","5","0.0001","1","3","0.1","0.1","0.14567595609516354","16006","1670.4769679705305","230.20765022057853","1671.5494103431702","1.316128256","1.316128256","230.05960674596537","5011.430903911591"
"Stanford_distilbert_partial_finetune","finished","-","","Stanford, distilbert, partial-finetune","2025-11-23T13:48:36.000Z","1705","","0.7915180103808028","0.807998252543823","3","0.00005","0.5298622767298573","0.5009524457172388","0.8097275060523873","0.4977490730415507","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","partial","","","","","","256","distilbert","distilbert-base-uncased","1","false","false","8","0.5","5","0.00005","1","3","0.1","0.1","0.19027249394761273","20906","466.4875502586365","824.3669927048531","466.6234610080719","0.54683648","0.54683648","824.1248718382545","1399.4626507759094"
"Stanford_distilbert_partial_finetune","finished","-","","Stanford, distilbert, partial-finetune","2025-11-23T13:19:17.000Z","1773","","0.7906806810971614","0.804157489487959","3","0.00005","0.5322600068286564","0.5089882608613213","0.8055317909605548","0.5068245118706984","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","partial","","","","","","256","distilbert","distilbert-base-uncased","1","false","false","8","0.5","5","0.00005","1","3","0.1","0.1","0.19446820903944517","21367","487.5489959716797","790.032719388115","468.1714572906494","0.54683648","0.54683648","821.3999252014644","1462.646987915039"
"Stanford_distilbert_lora_r8","finished","-","","Stanford, distilbert, lora, r=8","2025-11-23T13:05:35.000Z","2566","","0.8157173467583395","0.8291497533538417","3","0.0001","0.4825512070273692","0.4663695029696872","0.8302055081274915","0.4634146804480926","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","","none","16","0.1","8","[""q_lin"",""v_lin""]","256","distilbert","distilbert-base-uncased","","false","true","8","0.5","5","0.0001","1","3","0.1","0.1","0.1697944918725085","18656","743.6087563832601","517.149254653716","744.553795337677","0.873968128","0.873968128","516.4918940821362","2230.8262691497803"
"Stanford_distilbert_lora_r8","finished","-","","Stanford, distilbert, lora, r=8","2025-11-23T12:34:05.000Z","2694","","0.8169525374717856","0.8329905164097057","3","0.0001","0.48137603163940434","0.44269779351625066","0.8331725430948177","0.44196702881360544","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","","none","16","0.1","8","[""q_lin"",""v_lin""]","256","distilbert","distilbert-base-uncased","","false","true","8","0.5","5","0.0001","1","3","0.1","0.1","0.1668274569051823","18330","776.5504489739736","496.2652327363671","827.9853227138519","0.873968128","0.873968128","464.4478464178053","2329.651346921921"
"Stanford_bert_partial_finetune","finished","-","","Stanford, bert, partial-finetune","2025-11-23T12:14:15.000Z","3063","","0.8360420848979082","0.8449496696215665","3","0.00003","0.4441992240047324","0.4325005776273552","0.8469246591550321","0.4265567542188355","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","partial","","","","","","256","bert","bert-base-uncased","2","false","false","8","0.5","5","0.00003","1","3","0.1","0.1","0.15307534084496788","16819","854.0206048488617","450.2890824629287","854.7364883422852","0.885466112","0.885466112","449.9117625665255","2562.061814546585"
"Stanford_bert_partial_finetune","finished","-","","Stanford, bert, partial-finetune","2025-11-23T11:42:49.000Z","3059","","0.8384942635142866","0.8519758996668911","3","0.00003","0.4395546643322461","0.4093112089803001","0.8521943316890256","0.40779566347102686","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","partial","","","","","","256","bert","bert-base-uncased","2","false","false","8","0.5","5","0.00003","1","3","0.1","0.1","0.1478056683109744","16240","854.2233701546987","450.1834838687555","852.0527601242065","0.885466112","0.885466112","451.3288589593232","2562.670110464096"
"Stanford_bert_lora_r8","finished","-","","Stanford, bert, lora, r=8","2025-11-23T10:53:36.000Z","4824","","0.8414093135980195","0.855088555982307","3","0.0001","0.43526104024229934","0.42982529083279875","0.8541784225567468","0.4296665376220421","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","","none","16","0.1","8","[""query"",""value""]","256","bert","bert-base-uncased","","false","true","8","0.5","5","0.0001","1","3","0.1","0.1","0.1458215774432532","16022","1419.8940057754517","270.83430533072607","1419.629420042038","1.568318976","1.568318976","270.8847777954704","4259.682017326355"
"Stanford_bert_lora_r8","finished","-","","Stanford, bert, lora, r=8","2025-11-23T10:22:07.000Z","4828","","0.8414431188175454","0.8539417878661012","3","0.0001","0.4333427820994052","0.40895186104990994","0.8538416731892895","0.4091249560044952","","","","","Stanford","Stanford/snli_1.0_train.txt","","2","0","1","0.2","0.1","checkpoints","","0.5","","none","16","0.1","8","[""query"",""value""]","256","bert","bert-base-uncased","","false","true","8","0.5","5","0.0001","1","3","0.1","0.1","0.14615832681071045","16059","1422.6396737098694","270.31173495883985","1421.2430572509766","1.568318976","1.568318976","270.5772232540035","4267.919021129608"
